,旅遊公司名稱,標題:,網址,出發日期,#行程編號:行程1,成團狀況(團位),成團狀況(可售),成團狀況(補位),成團狀況(如成形show否則為空),#交通資訊 ,旅遊行程,總天數,價格,住宿點
0,雄獅旅遊,大阪自由行5日,https://travel.liontravel.com//detail?NormGroupID=9ab4ce60-49f2-4ba9-9336-5be5161166ab&GroupID=24JX620MMM1-T&Platform=app,2024/06/20 (四),1,4,0,請洽專員,,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 18,999起",無旅館資訊
1,雄獅旅遊,《大阪》宿心齋橋飯店★大阪自由行5日(贈WIFI機/虎航/含稅),https://travel.liontravel.com//detail?NormGroupID=ac338a01-92f1-43dd-8ff1-442bbe36d4a6&GroupID=24JX529IT1-ZP&Platform=app,2024/05/29 (三),1,2,0,候補,,"去程
06:40 TPE 桃園機場
10:25 KIX 大阪關西機場
台灣虎航
回程
11:15 KIX 大阪關西機場
13:10 TPE 桃園機場
台灣虎航
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 16,399起",無旅館資訊
2,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/01 (六),1,2,0,候補,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,999起",無旅館資訊
3,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/09 (日),1,1,1,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,499起",無旅館資訊
4,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/11 (二),1,6,2,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,499起",無旅館資訊
5,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/12 (三),1,2,2,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,999起",無旅館資訊
6,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/13 (四),1,2,2,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,999起",無旅館資訊
7,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/14 (五),1,2,2,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,999起",無旅館資訊
8,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/15 (六),1,2,2,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,999起",無旅館資訊
9,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/16 (日),1,2,2,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,499起",無旅館資訊
10,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/18 (二),1,2,0,候補,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 17,499起",無旅館資訊
11,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/20 (四),1,2,1,報名,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 18,899起",無旅館資訊
12,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/21 (五),1,6,0,候補,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 18,899起",無旅館資訊
13,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/28 (五),1,2,0,候補,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 18,899起",無旅館資訊
14,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/29 (六),1,2,0,候補,,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 18,899起",無旅館資訊
15,雄獅旅遊,《樂遊大阪》宿阪神酒店別館｜大阪樂桃自由行5日(兩人成行/含稅),https://travel.liontravel.com//detail?NormGroupID=63fe161b-f128-4ab9-a71e-583657fca630&GroupID=24JX601MMS-ZP&Platform=app,2024/06/30 (日),1,2,0,候補,成行,"去程
10:55 TPE 桃園機場
14:25 KIX 大阪關西機場
樂桃航空
回程
15:25 KIX 大阪關西機場
17:45 TPE 桃園機場
樂桃航空
航班時間僅為參考，最終確定之使用航班，以說明會資料為準！",無行程資料,共5天,"TWD 18,899起",無旅館資訊
